Area,Item,Year,yield_hg_per_ha,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,Maize,1990,36613.0,1485.0,121.0,16.37
Albania,Maize,1991,29068.0,1485.0,121.0,15.36
Albania,Maize,1992,24876.0,1485.0,121.0,16.06
Albania,Maize,1993,24185.0,1485.0,121.0,16.05
Albania,Maize,1994,25848.0,1485.0,201.0,16.96
Albania,Maize,1995,31300.0,1485.0,251.0,15.67
Albania,Maize,1996,32604.0,1485.0,313.96,15.64
Albania,Maize,1997,31862.0,1485.0,376.93,15.9
Albania,Maize,1998,33416.0,1485.0,439.89,16.27
Albania,Maize,1999,37455.0,1485.0,502.86,16.57
Albania,Maize,2000,38811.0,1485.0,565.82,16.67
Albania,Maize,2001,38135.0,1485.0,628.79,16.59
Albania,Maize,2002,39460.0,1485.0,691.75,16.47
Albania,Maize,2004,46197.0,1485.0,817.68,16.16
Albania,Maize,2005,45442.0,1485.0,880.64,15.67
Albania,Maize,2006,50111.0,1485.0,943.61,15.92
Albania,Maize,2007,46732.0,1485.0,1006.57,16.67
Albania,Maize,2008,50000.0,1485.0,1069.54,16.71
Albania,Maize,2009,55693.0,1485.0,1132.5,16.73
Albania,Maize,2010,66790.0,1485.0,1311.17,16.52
Albania,Maize,2011,59869.0,1485.0,1302.63,16.45
Albania,Maize,2012,67290.0,1485.0,766.25,16.7
Albania,Maize,2013,69533.0,1485.0,982.32,17.41
Albania,Rice,1990,23333.0,1485.0,121.0,16.37
Albania,Rice,1991,28538.0,1485.0,121.0,15.36
Albania,Rice,1992,40000.0,1485.0,121.0,16.06
Albania,Rice,1993,41786.0,1485.0,121.0,16.05
Albania,Soybean,1990,7000.0,1485.0,121.0,16.37
Albania,Soybean,1991,6066.0,1485.0,121.0,15.36
Albania,Soybean,1992,4507.0,1485.0,121.0,16.06
Albania,Soybean,1993,7998.0,1485.0,121.0,16.05
Albania,Soybean,1994,7927.0,1485.0,201.0,16.96
Albania,Soybean,1995,11791.0,1485.0,251.0,15.67
Albania,Soybean,1996,15480.0,1485.0,313.96,15.64
Albania,Soybean,1997,12768.0,1485.0,376.93,15.9
Albania,Soybean,1998,14327.0,1485.0,439.89,16.27
Albania,Soybean,1999,17143.0,1485.0,502.86,16.57
Albania,Soybean,2000,15000.0,1485.0,565.82,16.67
Albania,Soybean,2001,20000.0,1485.0,628.79,16.59
Albania,Soybean,2002,20000.0,1485.0,691.75,16.47
Albania,Soybean,2004,13333.0,1485.0,817.68,16.16
Albania,Soybean,2005,17500.0,1485.0,880.64,15.67
Albania,Soybean,2006,20000.0,1485.0,943.61,15.92
Albania,Soybean,2007,20000.0,1485.0,1006.57,16.67
Albania,Soybean,2008,20000.0,1485.0,1069.54,16.71
Albania,Soybean,2009,16667.0,1485.0,1132.5,16.73
Albania,Soybean,2010,16667.0,1485.0,1311.17,16.52
Albania,Soybean,2011,18519.0,1485.0,1302.63,16.45
Albania,Soybean,2012,13333.0,1485.0,766.25,16.7
Albania,Soybean,2013,10000.0,1485.0,982.32,17.41
Albania,Wheat,1990,30197.0,1485.0,121.0,16.37
Albania,Wheat,1991,20698.0,1485.0,121.0,15.36
Albania,Wheat,1992,24388.0,1485.0,121.0,16.06
Albania,Wheat,1993,29976.0,1485.0,121.0,16.05
Albania,Wheat,1994,24745.0,1485.0,201.0,16.96
Albania,Wheat,1995,28703.0,1485.0,251.0,15.67
Albania,Wheat,1996,21741.0,1485.0,313.96,15.64
Albania,Wheat,1997,28516.0,1485.0,376.93,15.9
Albania,Wheat,1998,28037.0,1485.0,439.89,16.27
Albania,Wheat,1999,24954.0,1485.0,502.86,16.57
Albania,Wheat,2000,30455.0,1485.0,565.82,16.67
Albania,Wheat,2001,28220.0,1485.0,628.79,16.59
