Area,Item,Year,yield_hg_per_ha,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes,span_years,Aridity_Index,yield_trend,Water_Stress,Heat_Stress
Albania,Maize,1990,36613.0,1485.0,16.37,121.0,23,56.31399317406143,22238.460827398114,0.6423076923076924,0.3629999999999999
Albania,Maize,1991,29068.0,1485.0,15.36,121.0,23,58.556782334384856,24024.793150477577,0.6423076923076924,0.4640000000000001
Albania,Maize,1992,24876.0,1485.0,16.06,121.0,23,56.98388334612433,25811.125473556574,0.6423076923076924,0.39400000000000013
Albania,Maize,1993,24185.0,1485.0,16.05,121.0,23,57.005758157389636,27597.457796636038,0.6423076923076924,0.3949999999999999
Albania,Maize,1994,25848.0,1485.0,16.96,201.0,23,55.081602373887236,29383.790119715035,0.6423076923076924,0.30399999999999994
Albania,Maize,1995,31300.0,1485.0,15.67,251.0,23,57.84962991819244,31170.122442794498,0.6423076923076924,0.433
Albania,Maize,1996,32604.0,1485.0,15.64,313.96,23,57.917316692667704,32956.454765873495,0.6423076923076924,0.43599999999999994
Albania,Maize,1997,31862.0,1485.0,15.9,376.93,23,57.335907335907336,34742.78708895296,0.6423076923076924,0.41
Albania,Maize,1998,33416.0,1485.0,16.27,439.89,23,56.52835934526075,36529.119412031956,0.6423076923076924,0.37300000000000005
Albania,Maize,1999,37455.0,1485.0,16.57,502.86,23,55.89010161836658,38315.45173511142,0.6423076923076924,0.34299999999999997
Albania,Maize,2000,38811.0,1485.0,16.67,565.82,23,55.68053993250843,40101.78405819088,0.6423076923076924,0.33299999999999985
Albania,Maize,2001,38135.0,1485.0,16.59,628.79,23,55.848063181647234,41888.11638126988,0.6423076923076924,0.341
Albania,Maize,2002,39460.0,1485.0,16.47,691.75,23,56.101246694370985,43674.44870434934,0.6423076923076924,0.3530000000000001
Albania,Maize,2004,46197.0,1485.0,16.16,817.68,23,56.76605504587156,47247.1133505078,0.6423076923076924,0.384
Albania,Maize,2005,45442.0,1485.0,15.67,880.64,23,57.84962991819244,49033.4456735868,0.6423076923076924,0.433
Albania,Maize,2006,50111.0,1485.0,15.92,943.61,23,57.291666666666664,50819.777996666264,0.6423076923076924,0.40800000000000003
Albania,Maize,2007,46732.0,1485.0,16.67,1006.57,23,55.68053993250843,52606.11031974526,0.6423076923076924,0.33299999999999985
Albania,Maize,2008,50000.0,1485.0,16.71,1069.54,23,55.59715462373643,54392.442642824724,0.6423076923076924,0.3289999999999999
Albania,Maize,2009,55693.0,1485.0,16.73,1132.5,23,55.55555555555556,56178.77496590419,0.6423076923076924,0.32699999999999996
Albania,Maize,2010,66790.0,1485.0,16.52,1311.17,23,55.995475113122176,57965.107288983185,0.6423076923076924,0.34800000000000003
Albania,Maize,2011,59869.0,1485.0,16.45,1302.63,23,56.14366729678639,59751.43961206265,0.6423076923076924,0.3550000000000001
Albania,Maize,2012,67290.0,1485.0,16.7,766.25,23,55.61797752808989,61537.771935141645,0.6423076923076924,0.33000000000000007
Albania,Maize,2013,69533.0,1485.0,17.41,982.32,23,54.17730755198833,63324.10425822111,0.6423076923076924,0.259
Albania,Soybean,1990,7000.0,1485.0,16.37,121.0,23,56.31399317406143,9250.423624791554,0.985,0.3629999999999999
Albania,Soybean,1991,6066.0,1485.0,15.36,121.0,23,58.556782334384856,9681.0938020912,0.985,0.4640000000000001
Albania,Soybean,1992,4507.0,1485.0,16.06,121.0,23,56.98388334612433,10111.76397939073,0.985,0.39400000000000013
Albania,Soybean,1993,7998.0,1485.0,16.05,121.0,23,57.005758157389636,10542.434156690375,0.985,0.3949999999999999
Albania,Soybean,1994,7927.0,1485.0,16.96,201.0,23,55.081602373887236,10973.104333989904,0.985,0.30399999999999994
Albania,Soybean,1995,11791.0,1485.0,15.67,251.0,23,57.84962991819244,11403.77451128955,0.985,0.433
Albania,Soybean,1996,15480.0,1485.0,15.64,313.96,23,57.917316692667704,11834.444688589196,0.985,0.43599999999999994
Albania,Soybean,1997,12768.0,1485.0,15.9,376.93,23,57.335907335907336,12265.114865888725,0.985,0.41
Albania,Soybean,1998,14327.0,1485.0,16.27,439.89,23,56.52835934526075,12695.78504318837,0.985,0.37300000000000005
Albania,Soybean,1999,17143.0,1485.0,16.57,502.86,23,55.89010161836658,13126.4552204879,0.985,0.34299999999999997
