Area,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes
Albania,1485.0,16.7,1132.5
Algeria,89.0,17.78,13861.76
Angola,1010.0,24.33,40.0
Argentina,591.0,17.755,105915.04
Armenia,562.0,10.2,278.72
Australia,534.0,16.805,45177.18
Austria,1110.0,9.42,3531.8
Azerbaijan,447.0,13.0,461.84
Bahamas,1292.0,25.46,268.2
Bangladesh,2666.0,26.54,13790.09
Belarus,618.0,6.75,8306.31
Belgium,847.0,10.36,5905.6
Botswana,416.0,19.25,17.0
Brazil,1761.0,22.86090909090909,345026.0
Bulgaria,608.0,9.74,1459.75
Burkina Faso,748.0,29.05,843.0
Burundi,1274.0,21.44,177.75
Cameroon,1604.0,25.45,1372.47
Canada,537.0,8.008333333333333,62107.19999999999
Central African Republic,1342.0,25.69,22.87
Chile,1522.0,9.76,9830.72
Colombia,3240.0,25.11,51435.13
Croatia,1113.0,11.06,1737.47
Denmark,703.0,8.81,4118.0
Dominican Republic,1410.0,26.855,6316.61
Ecuador,2274.0,20.493333333333336,11469.74
Egypt,51.0,22.15,12945.0
El Salvador,1784.0,26.04,3333.88
Eritrea,383.0,25.22,27.63
Estonia,626.0,6.14,514.0
Finland,536.0,5.49,1693.8
France,867.0,11.22,63547.59
Germany,700.0,8.43,43754.35
Ghana,1187.0,27.14,378.97
Greece,652.0,18.82,8002.2
Guatemala,1996.0,19.88,16540.71
Guinea,1651.0,27.37,663.23
Guyana,2387.0,27.43,358.72
Haiti,1440.0,27.2,27.85
Honduras,1976.0,24.63,6324.41
Hungary,589.0,11.31,8473.26
India,1083.0,26.579090909090908,45620.0
Indonesia,2702.0,27.026666666666667,1597.0
Iraq,216.0,22.52,1795.94
Ireland,1118.0,9.28,2727.15
Italy,832.0,10.75,70690.0
Jamaica,2051.0,27.41,909.71
Japan,1668.0,15.055,54716.4
Kazakhstan,250.0,4.9,8716.14
Kenya,630.0,16.9,1578.0
Latvia,641.0,6.51,1070.5
Lebanon,661.0,20.19,1816.0
Lesotho,788.0,14.62,80.07
Libya,56.0,20.355,3548.0
Lithuania,656.0,6.7,2515.69
Madagascar,1513.0,20.13,310.36
Malawi,1181.0,20.68,736.25
Malaysia,2875.0,27.47,52464.19
Mali,282.0,27.89,3.25
Mauritania,92.0,27.87,26.41
Mauritius,2041.0,24.52,685.98
Mexico,758.0,20.74875,63402.29
Morocco,346.0,18.645,13697.0
Mozambique,1032.0,21.7,766.93
Namibia,285.0,20.11,56.0
Nepal,1500.0,15.79,342.92
Netherlands,778.0,10.08,10720.17
New Zealand,1732.0,13.3375,5086.0
Nicaragua,2280.0,27.01,4932.05
Niger,151.0,30.32,11.49
Norway,1414.0,3.31,761.97
Pakistan,494.0,24.76333333333333,1979.27
Papua New Guinea,3142.0,25.17,105.0
Peru,1738.0,17.03,15590.54
Poland,600.0,8.5,21779.27
Portugal,854.0,16.77,13774.18
Qatar,74.0,28.54,68.0
Romania,637.0,12.33,6582.9
Rwanda,1212.0,19.84,953.85
Saudi Arabia,59.0,26.925,4840.3
Senegal,686.0,25.41,722.53
Slovenia,1162.0,11.06,1121.91
South Africa,495.0,17.6125,26857.0
Spain,636.0,15.83,48668.0
Sri Lanka,1712.0,26.83,1235.31
Suriname,2331.0,27.42,936.24
Sweden,624.0,7.21,1814.0
Switzerland,1537.0,7.96,2098.5
Tajikistan,691.0,8.45,264.6
Thailand,1622.0,28.48,68986.0
Tunisia,207.0,19.76,422.24
Turkey,593.0,15.536,39440.0
Uganda,1180.0,24.13,88.0
Ukraine,565.0,8.82,79491.7
United Kingdom,1220.0,9.29,17673.46
Uruguay,1300.0,16.96,17517.76
Zambia,1020.0,20.8,1670.0
Zimbabwe,657.0,20.52,3305.17
