Area,Item,yield_trend
Albania,Maize,63324.10425822111
Albania,Soybean,19155.837702682125
Albania,Wheat,40686.14532504906
Algeria,Maize,43297.8705106834
Algeria,Rice,11939.267540536472
Algeria,Wheat,16880.293529322604
Angola,Maize,8065.893923321739
Angola,Rice,8104.418927110208
Angola,Soybean,5138.011486001429
Angola,Wheat,11743.556902560997
Argentina,Maize,71441.50818305789
Argentina,Rice,70693.19813608099
Argentina,Soybean,26574.321412335208
Argentina,Wheat,29186.2403394453
Armenia,Maize,59989.63496503513
Armenia,Wheat,25259.30279720284
Australia,Maize,60821.17479921179
Australia,Rice,90949.65206849515
Australia,Soybean,20976.234884073376
Australia,Wheat,17414.44597666313
Austria,Maize,107310.9024094562
Austria,Soybean,27637.30095468997
Austria,Wheat,51515.72814062736
Azerbaijan,Maize,56526.11818181863
Azerbaijan,Rice,32801.19020979022
Azerbaijan,Soybean,8111.574825174826
Azerbaijan,Wheat,27486.282517482527
Bahamas,Maize,69181.2993006995
Bangladesh,Maize,69591.19593877904
Bangladesh,Rice,45467.12804970448
Bangladesh,Wheat,24736.819290801533
Belarus,Maize,56415.94545454532
Belarus,Wheat,34364.477622377686
Belgium,Maize,103318.9283216782
Belgium,Wheat,87614.49838478118
Botswana,Maize,1569.974238521012
Botswana,Wheat,8698.758336681407
Brazil,Maize,46030.3142900439
Brazil,Rice,47861.5313683888
Brazil,Soybean,29487.22791332018
Brazil,Wheat,25519.887179875517
Bulgaria,Maize,55183.06879830267
Bulgaria,Rice,55532.90165176522
Bulgaria,Soybean,14746.423170177266
Bulgaria,Wheat,35401.67654190026
Burkina Faso,Maize,16535.990907713305
Burkina Faso,Rice,21067.710865282614
Burkina Faso,Soybean,14778.588043642929
Burundi,Maize,10225.484846188803
Burundi,Rice,27936.07872404909
Burundi,Soybean,7483.604788604338
Burundi,Wheat,7395.683361115327
Cameroon,Maize,21366.347552659456
Cameroon,Rice,8374.004849219695
Cameroon,Soybean,10536.449234732543
Cameroon,Wheat,13279.505909986365
Canada,Maize,93476.73389907509
Canada,Soybean,27715.143279284704
Canada,Wheat,29521.440293983906
Central African Republic,Maize,13118.928246704048
Central African Republic,Rice,19970.521745719016
Chile,Maize,111123.84543112572
Chile,Rice,56318.386194878025
Chile,Wheat,53964.26473708148
Colombia,Maize,30278.363843006315
Colombia,Rice,46287.5064403697
Colombia,Soybean,22705.05265949384
Colombia,Wheat,16845.11600242462
Croatia,Maize,66882.98461538483
Croatia,Soybean,24925.617482517555
Croatia,Wheat,51285.74265734269
Denmark,Wheat,72289.24829519626
Dominican Republic,Maize,15012.505682679184
Dominican Republic,Rice,43038.491816942
Ecuador,Maize,23567.953780876007
Ecuador,Rice,43648.63661160774
Ecuador,Soybean,16345.837702682224
Ecuador,Wheat,8234.973480830406
Egypt,Maize,83089.07228367939
Egypt,Rice,101995.21874526422
Egypt,Soybean,33496.195938778576
Egypt,Wheat,67769.89733292907
El Salvador,Maize,32265.87876951066
El Salvador,Rice,73186.71192604909
El Salvador,Soybean,18715.05205334141
Eritrea,Maize,8928.288311688346
Eritrea,Wheat,11426.17272727273
Estonia,Wheat,33299.66993007017
Finland,Wheat,37807.86846491887
France,Maize,93928.86876799492
France,Rice,53120.551522958034
France,Soybean,28103.334671919933
France,Wheat,71792.75443248975
Germany,Maize,101248.90316714672
Germany,Soybean,13147.170404606848
Germany,Wheat,77793.47931504773
Ghana,Maize,17520.661009243806
Ghana,Rice,24868.93332323071
Greece,Maize,104836.07501136525
Greece,Rice,78240.05349295342
Greece,Soybean,17427.112668586196
Greece,Wheat,26153.659342324598
Guatemala,Maize,21545.8028489165
Guatemala,Rice,27354.262388240637
Guatemala,Soybean,27264.564403697528
Guatemala,Wheat,21994.179193817254
Guinea,Maize,15545.46514623426
Guinea,Rice,14422.41028943786
Guyana,Maize,13630.545688740734
Guyana,Rice,46825.22018487658
Haiti,Maize,7953.677678436126
Haiti,Rice,23791.47840581904
Honduras,Maize,16490.823155023478
Honduras,Rice,57383.218517957255
Honduras,Soybean,21048.945454545465
Honduras,Wheat,5328.1811638126965
Hungary,Maize,63238.68040612224
Hungary,Rice,37589.44726473698
Hungary,Soybean,22512.83270192449
Hungary,Wheat,40695.69343839977
India,Maize,24838.028489165008
India,Rice,35114.94453705114
India,Soybean,11625.899151386577
India,Wheat,30411.83489922713
Indonesia,Maize,46359.56478254311
Indonesia,Rice,50061.37975450826
Indonesia,Soybean,14068.843839975743
Iraq,Maize,28282.690180330304
Iraq,Rice,36346.96529777232
Iraq,Soybean,7245.846340354765
Iraq,Wheat,19577.18472495838
Ireland,Wheat,85725.34842400363
Italy,Maize,93603.69101378995
Italy,Rice,65609.4071829064
Italy,Soybean,33146.434156690404
Italy,Wheat,38002.23586907098
Jamaica,Maize,11974.574177905755
Jamaica,Rice,38402.80345506896
Japan,Maize,25840.50590998636
Japan,Rice,67711.24261251697
Japan,Soybean,16870.33595999393
Japan,Wheat,38543.84899227152
Kazakhstan,Maize,53550.62027972052
Kazakhstan,Rice,36655.58531468536
Kazakhstan,Soybean,19956.25804195809
Kazakhstan,Wheat,11253.846853146852
Kenya,Maize,16001.362858008795
Kenya,Rice,33686.3633883922
Kenya,Soybean,10690.750037884456
Kenya,Wheat,26764.31095620536
Latvia,Wheat,38833.18741258746
Lebanon,Maize,43198.24837096525
Lebanon,Wheat,30658.81906349433
Lesotho,Maize,6228.866494923539
Lesotho,Wheat,8663.52333686922
Libya,Maize,24530.03614183946
Libya,Wheat,7157.977799666638
Lithuania,Maize,62157.257342657074
Lithuania,Wheat,42273.62797202799
Madagascar,Maize,17078.881497196387
Madagascar,Rice,35647.739354447694
Madagascar,Soybean,5555.569101379006
Madagascar,Wheat,24298.374981057717
Malawi,Maize,21165.381876041763
Malawi,Rice,18342.42847401119
Malawi,Wheat,16104.370889528887
Malaysia,Maize,66090.22859524097
Malaysia,Rice,37748.39430216688
Mali,Maize,23412.8471738142
Mali,Rice,30901.51439612056
Mali,Soybean,8609.474693135358
Mali,Wheat,33162.26678284584
Mauritania,Maize,6853.236172147299
Mauritania,Rice,50991.782845885726
Mauritania,Wheat,22172.66873768752
Mauritius,Maize,84192.19548416417
Mauritius,Rice,23548.41627246933
Mexico,Maize,33185.02091225935
Mexico,Rice,51223.539551447146
Mexico,Soybean,14767.114790119756
Mexico,Wheat,54785.04015759961
Morocco,Maize,8057.208289134724
Morocco,Rice,74840.35278072394
Morocco,Soybean,8871.239430216723
Morocco,Wheat,16635.45787240495
Mozambique,Maize,10837.385512956536
Mozambique,Rice,6340.1364600697125
Mozambique,Wheat,11636.458630095476
Namibia,Maize,20886.4719654494
Namibia,Wheat,60758.99818154238
Nepal,Maize,23114.14509774209
Nepal,Rice,30605.9355963025
Nepal,Soybean,10405.463479315047
Nepal,Wheat,23683.303833914222
Netherlands,Maize,91062.36932656076
Netherlands,Wheat,85917.84293074708
New Zealand,Maize,110343.44461281992
New Zealand,Wheat,87365.74905288639
Nicaragua,Maize,14006.898242157911
